Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
PHAS,ENPH_V 481,,,,,,,,
EOAS,ENVR_V 200,,,,,X,,,field
EOAS,ENVR_V 201,,,,,,,,
EOAS,ENVR_V 300,,,,,X,,,
EOAS,ENVR_V 301,,,,,,,,
EOAS,ENVR_V 302,,,,,,,,
EOAS,ENVR_V 400,,,,,X,,,
EOAS,ENVR_V 401,,,,,,,,
EOAS,ENVR_V 410,,,,,X,,,
EOAS,ENVR_V 420,,,,,X,X,,
EOAS,ENVR_V 430,,,,,X,,,
EOAS,ENVR_V 440,,,,,X,,,
EOAS,ENVR_V 448,,,,,,,,
EOAS,ENVR_V 449,,,,,,,,
EOAS,EOSC_V 110,,,,,X,,X,
EOAS,EOSC_V 111,,,,,X,,,
EOAS,EOSC_V 112,,,,,X,,X,
EOAS,EOSC_V 114,,,,,X,,X,
EOAS,EOSC_V 116,,,,,X,,X,
EOAS,EOSC_V 118,,,,,,,X,
EOAS,EOSC_V 210,,,,,X,,,
EOAS,EOSC_V 211,,,,,,,,
EOAS,EOSC_V 212,,,,,X,,,
EOAS,EOSC_V 220,,,,,,,,field
EOAS,EOSC_V 240,,,,,X,,,
EOAS,EOSC_V 270,,,,,X,,,non-specialist
EOAS,EOSC_V 310,,,,,X,,X,"hybrid;
non-specialist"
EOAS,EOSC_V 311,,,,,X,,X,"hybrid;
non-specialist"
EOAS,EOSC_V 314,,,,,X,,X,"hybrid;
non-specialist"
EOAS,EOSC_V 315,,,,,X,,X,"hybrid;
non-specialist"
EOAS,EOSC_V 321,,,,,,,,
EOAS,EOSC_V 323,,,,,,,,
EOAS,EOSC_V 325,,,,,,,,non-specialist
EOAS,EOSC_V 326,,,,,X,,,"hybrid;
non-specialist"
EOAS,EOSC_V 329,,,,,,,,
EOAS,EOSC_V 330,,,,,,,,
EOAS,EOSC_V 331,,,,,,,,
EOAS,EOSC_V 333,,,,,X,,,
EOAS,EOSC_V 340,,,,,X,,,non-specialist
EOAS,EOSC_V 350,,,,,,,,
EOAS,EOSC_V 352,,,,,,,,
EOAS,EOSC_V 354,,,,,,,,
EOAS,EOSC_V 372,,,,,X,,,non-specialist
EOAS,EOSC_V 373,,,,,,,,non-specialist
EOAS,EOSC_V 398,,,,,,,,
EOAS,EOSC_V 399,,,,,,,,
